	Unnamed: 0	sentence	sentiment	translation
331	331	Cherudaaytt #thegreatfather bgm vanno ennoru doubt ( first)	neutral	Cherudaaytt #thegreatfather bgm vanno ennoru doubt (first)
332	332	Malayala cinemayude .....  Ore oru Rajavu   #Lalettan	positive	Malayala cinemayude ..... Ore oru Rajavu #Lalettan
333	333	Story ere kore pidi kitti kazhinju....	neutral	Story ere kore pidi kitti kazhinju....
334	334	Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam	positive	Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam
335	335	Itrayum nalla Padam ee oola channelil enthinna ittee	negative	Itrayum nalla Padam ee oola channelil enthinna ittee
336	336	Avasanam oru superman puchu ude  mamukka powlikum  kude madura rajayum	positive	Avasanam oru superman puchu ude mamukka powlikum kude madura rajayum
337	337	E trailornu unlike adicha ella oolakalkum	negative	E trailornu unlike adicha ella oolakalkum
338	338	Eee padam ettu nilayil moonchum	negative	Eee padam ettu nilayil moonchum
339	339	pulimurukan trailer ano kanunath 🤔	neutral	Pulimurugan trailer ano kanunnath 🤔
340	340	Trailer kandal ariyam nalla oombiya padam aanunn	negative	Trailer kandal ariyam nalla oombiya padam aanunn
341	341	lov uuuuuuuuuu etttaaaaaaa  romajam vanu chavum	positive	lov uuuuuuuuuu etttaaaaaaa romajam vanu chavum
342	342	Uff uff uff ijjadi ikaaaaaaaaaaaaa ponnikkkaaaaaaaa	positive	Uff uff iff ijjadi ikaaaaaaaaaaaaa ponnikkkaaaaaaaa
343	343	Ithrayum predisha koduthittu adutha odiyan akathirunna mathiyayirunnu🤪🤪	neutral	Ithrayum predisha koduthittu adutha odiyan akathirunna mathiyayirunnu🤪🤪
344	344	Kgf poleyulla padam kanda feel.. kidilam	positive	Kgf poleyulla padam kanda feel.. kidilam
345	345	enthu myru dailogado ikkayude ketitile athu pole para mo e.	negative	enthu myru dialogado ikkayude ketitile athu pola para mi e.
346	346	Jayasurya MASS Look! And super trailer	positive	Jayasurya MASS Look! And super trailer
347	347	Kola mass ennu thoniyavar evdea like adiku	positive	Kola mass ennu thoniyavar evdea like adiku
348	348	nivin pauli annel ithe oru onnonnara Padam ayene	neutral	nivin pauli annel ithe oru onnonnara Padam ayene
349	349	Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil	negative	Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil
350	350	Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr	positive	Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr
351	351	Ikkha Mess aanu  #mamookkha  #dq	positive	Ikkha Mess aanu #mamookkha #dq
352	352	Super aakumennu ariyamayirunnu pakshey etu maha maha soooper....	positive	Super aakumennu ariyamayirunnu pakshey etu maha maha soooper....
353	353	Namukkokke telugu action padam ishdamanu ithippo telung padam pole undall the best	neutral	Namukkokke telugu action padam ishtamanu ithippo telungu padam pole undall the best
354	354	Onnum parayaanilla.....kaathirikkunnu Lucifer ney kaanaan!!! Prithvirajj polichuttooo...iniyum porattey cinemakal....Muralii...ingalu muthaanu...	positive	Onnum parayaanilla.....kaathirikkunnu Lucifer ney kaanaan!!! Prithvirajj polichuttooo...iniyum porattey cinemakal....Muralii...ingalu muthaanu...
355	355	Full pulimurugan cast🤩🤩🤩ith polikm muruga nee theerneda	positive	Full pulimurugan cast🤩🤩🤩ith polikm muruga nee theerneda
356	356	Ikka Fans Like here  And Maranamass	positive	Ikka Fans Like Here And Maranamass
357	357	Njan oru Lalettan Fana Ennalum Enikk Teaser Ishtappettilla	negative	Njan oru Lalettan Fana Ennalum Enikk Teaser Ishtappettilla
358	358	Oru rakshem illaa  Lalettan  Prithvi	positive	Oru rakshem illa Lalettan Prithvi
359	359	rajaede pilllar strong anell ettante pillerrr strongoo strong.....	positive	rajaede pillar strong anell ettante pillarrr strongoo strong.....
360	360	Mammukka kalakam super trailer rajaiuda team double strong alla trouble strong annu	positive	Mammukka kalakam super trailer rajaiuda team double strong alla trouble strong annu
361	361	Banal trash. Panavum nashtam samayavum nashtam.	negative	Banal trash. Panavum nashtam samayavum nashtam.
362	362	Dislike adichavarode enik parayanullathe ikka uryir	negative	Dislike adichavarode enik parayanullathe ikka uryir
363	363	Ente ponno rajuvetta namichu lalettan is back	positive	Ente ponno rajuvetta namichu lalettan is back
364	364	E  adaaar item adaaar item ennu paranchal entha ennu eppalla manasilayathu	positive	E adaaar item adaaar item ennu paranchal entha ennu eppalla manasilayathu
365	365	poraa pratheeksha illa.. Tovi voice rendering sradhichitilla..... camera	negative	poraa pratheeksha illa.. Tovi voice rendering sradichitilla..... camera
366	366	Mammokka superb... glamour... but trailor nirashapeduthi...	neutral	Mammokka superb... glamour... but trailor nirashapeduthi...
367	367	trailar mas  padam marana mas rajayum pillarum kali thudagi  pakalam	positive	trailer mas padam marana mass rajayum pillarum kali thudangi pakalam
368	368	Ikka	positive	Ikka
369	369	Diriection mosamanu ennoru thonnal.. oru feel varunnilla	negative	Direction mosamanu ennoru thonnal.. oru feel varunnilla
370	370	Ente ponnoo ejjathi  Ithu malayalathinte oreoru mamangam	positive	Ente ponnoo ejjathi Ithu Malayalathinte oreoru mamangam
371	371	Pottum aenne urappayi .... Inne aethra nilayil pottum aennum koodi nokkiya mathi....	negative	Pottum aenne urappayi .... Inne aethra nilayil pottum aennum koodi nokkiya mathi....
372	372	Vishakinte page allade vere onnum kityille subcribe cheyyann...38 k ane adil agge illed...minimum 500 k..vews ille subcribr kitenamayirunnu....	negative	Vishakinte page allade vere onnum kityille subscribe cheyyann...38 k ane adil agge illed...minimum 500 k..views ille subscribe kitenamayirunnu....
373	373	Duper hit aavatte  Mammookka	positive	Duper hit aavatte Mammookka
374	374	Dislike adikkunnavan mar kandoooo Lalettan puthiya adar item................	positive	Dislike adikkunnavan mar kandoooo Lalettan puthiya adar item................
375	375	Romancham vanna trailer... and ...lalettante..Vaadaa...!!!.... ith pwolikkum.....	positive	Romancham vanna trailer... and ...dilettante..Vaadaa...!!!.... with pulikkum.....
376	376	Ethra kandalum veendum kanan thonunna trailer.	positive	Ethra kandalum veendum kanan thonunna trailer.
377	377	Ente ponnu...kiduve...🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 Ikkkkaaaa       Kidu.bgm🥰🥰🥰	positive	Ente ponnu...kiduve...ţţŒţţţţţţţţţţţţţţţţţţţ Ikkkkaaaa Kidu.bgmţţţů
378	378	Oompitharam alle mr. Producer.	negative	Oompitharam alle mr. Producer.
379	379	Wow  katta maas movie.... ....waiting	positive	Wow katta maas movie.... ...waiting
380	380	Oru rakashayum ella  Ikka polichu	positive	Oru rakashayum ella Ikka polichu
381	381	Lucifer ...Rajuvettan malayalcinemakku nalkan pokunna ponthuval .....Lalettann awaiting ....For your devil lucifer	positive	Lucifer ...Rajuvettan malayalcinemakku nalkan pokunna ponthuval .....Lalettann awaiting ....For your devil lucifer
382	382	Lokathilie ettavum mikacha nadan	positive	Lokathile ettavum mikacha nadan
383	383	2300 dislikes trailer kanathe oohikalloo arokeyayirikumennu	negative	2300 dislikes trailer kanathe oohikalloo arokeyayirikumennu
384	384	Terror bgm theater ilakki marikkunna item aanenn oru soochana iam waiting	positive	Terror bgm theater ilakki marikkunna item aanenn oru soochana iam waiting
385	385	Poli oru rakshayum illa...  dileep ettan...	positive	Poli oru rakshayum illa... dileep ettan...
386	386	Ethu 18 alla ethu athukum mele Ulla PADI Anu	positive	Ethu 18 alla ethu athukum mele Ulla PADI Anu
387	387	Next Odiyan akuo en oru doubt 🤔🤔	neutral	Next Odiyan akuo en oru doubt 🤔🤔
388	388	Annum inum ee manilla natturajavuu lalettan matram ettan ishtam	positive	Annum inum ee manilla natturajavuu lalettan matram ettan ishtam
389	389	Super movie lalettan oru rakshella	positive	Super movie lalettan oru rakshella
390	390	PazhKkam koodubol veeryam koodunna veenanu ikka	positive	PazhKkam koobol veeryam koodunna veenanu ikka
391	391	romanjification love you laletta ithu pwolikkum	positive	romanjification love you laletta ithu pwolikkum
392	392	Nte laletta  Idikatta waiting aaa..... Ummah. Theatre pooraparambha urappaa	positive	Nte laletta Idikatta waiting aaa..... Ummah. Theater poorarambha urappaa
393	393	Pokkirirajaykk murukanil undaya pole oru chayakachal enthayalum kollam	neutral	Pokkirirajaykk murukanil undaya pole oru chayakachal enthayalum kollam
394	394	Camera chaithirikkunnathu nalla pakka pakka... Nalla dop.... Orupadishtay	positive	Camera chaithirikkunnathu nalla pakka pakka... Nalla dop.... Orupadishtay
395	395	Dislike adichirikanadu lalappan tenddikalairikum kolani valangal fuuu	negative	Dislike adichirikanadu lalappan tenddikalairikum kolani valangal fuuu
396	396	Ikka fan alla ennalum ith ikkade etavum valiya blockbuster avate Ennan agraham	positive	Ikka fan alla ennalum intha ikkade ettavum valiya blockbuster avait Ennan agraham
397	397	Trailor ok ...kozapilla enni movie kandal ariyam	neutral	Trailer oka ...kozapilla enni movie kandal ariyam
398	398	Mammmokhaaa 69 vayyas ayye annetum look entaa ponooo	positive	Mammokhaaa 69 vayyas ayye annetum look entaa ponooo
399	399	cinema virodhikal dislike aayittu ethiyalo.. nthado nannaavaathe.. ikkayeyum ettaneyum verukaan ngane pattunnu keedangale..??	positive	cinema virodhikal dislike aayittu ethiyalo.. nthado nannaavaathe.. ikkayeyum ettaneyum verukaan ngane pattunnu keedangale..??
400	400	Ithilum nallath pulimurugan trailer onnoode kanunnath aayirunnu	negative	Ithilum nallath pulimurugan trailer onnoode kanunnath aayirunnu
401	401	Lalettnje engne kanan agrahichu ath angne namnal kandu	positive	Lalette enne kanan agrahichu ath angane nammal kandu
402	402	Dislike alla lappantta makkalum anta nadu veral നമസ്കാരം	negative	Dislike alla lappantta makkalum anta nadu veral salutation
403	403	Enatammo pwoli itemm marana mass trailer	positive	Enatammo pwoli itemm marana mass trailer
404	404	FDFS locked ഒറ്റ പേര് Megastar Mamookka	positive	FDFS locked single name Megastar Mamookka
405	405	Inganathe oru padathin vendi aayirunnu kaathiripp...avanteyokke.. friendshipum..romanceum...chaliyum..masalayum.. kand maduth	positive	Inganathe oru padathin vendi aayirunnu kaathiripp...avanteyokke.. friendshipum..romanceum...chaliyum..masalayam.. kand maduth
406	406	Lalettan massaaa verum Mass Alla kolamass lalettan ki jaiiii	positive	Lalettan massaaa verum Mass Alla kolamass lalettan ki jaiiii
407	407	Ethra Alinja oru padam Mr mammotty nirthi poekode do🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬	negative	Ethra Alinja oru padam Mr Mammotty nirthi poekode do
408	408	Polichu trailer by suriya fan padam polikum	positive	Polichu trailer by suriya fan padam polikum
409	409	Oru reksham ella masss atra parayan epol patuuuuuuu laletan polychu	positive	Oru reksham ella masss atra parayan epol patuuuuuuu laletan polychu
410	410	Trailer kaanikan udheshichavar padam full kaanichu ithilude...best	neutral	Trailer kaanikan udheshichavar padam full kaanichu ithilude...best
411	411	Super trailer avasanam guhan vannnu orginality kalanju	neutral	Super trailer avasanam guhan vannnu originality kalanju
412	412	Ooh!! Mass ennoke paranjal para masss... Lalettan kiii	positive	Ooh!! Mass ennoke paranjal para masses... Lalettan kiii
413	413	dhe ithayrunnu njangalkku vendathu <3 rajuvetta thank you so much <3 lalettan <3	positive	dhe ithayrunnu njangalkku vendathu <3 rajuvetta thank you so much <3 lalettan <3
414	414	Trailer Iranghum munbe lalappans Dislike Adikkunnath Kando . Ithil ninnum Manassilakkam Rajaye Lalappans Pedikkunnu Ennu🤣🤣	negative	Trailer Iranghum munbe lalappans Dislike Adikkunnath Kando . Ithil ninnum Manassilakkam Rajaye Lalappans Pedickunnu Ennu🤣🤣
415	415	Nalla oru survival movie avum enn pratheekshikunnu	positive	Nalla oru survival movie avum enn pratheekshikunnu
416	416	Enta ponoooo  enna lookaaaaa	positive	Enta ponoooo enna lookaaaaa
417	417	E Padam Hit avunnu e Trailer kandittu thonnunna #LalettanFans Hit #LIKE #SpikerzTraveller	positive	E Padam Hit avunnu e Trailer kandittu thonnunna #LalettanFans Hit #LIKE #SpikerzTraveller
418	418	Kandittu malayala cinimak nalloru savidayakan koodi kittum ennoru thonal	positive	Kandittu malayala cinimak nalloru savidayakan koodi kittum ennoru thonal
419	419	Njan kandukondee irikunnu... vendum vendum.. vere aarenkilm undo ennae pole....	positive	Njan kandukondee irikunnu... vendum vendum.. vere aarenkilm undo ennae pole....
420	420	Vineeth ettante film aayathukondu super aayirikum urappaaa	positive	Vineeth ettante film aayathukondu super aayirikum urappaaa
421	421	Ini releasine vendi katta waiting 🤩	positive	Ini release vendi katta waiting 🤩
422	422	Aadhyam lalettante kude Lucifer...Ippo mammukayude koode ith....Rajuvettaaa	positive	Aadhyam lalettante kude Lucifer...Ippo mammukayude koode ith....Rajuvettaaa
423	423	Padathil animation undenn paranjappo ethreem karutheela   Ikka super	positive	Padathil animation undenn paranjappo ethreem karutheela Ikka super
424	424	Time @2:03 am....ethu kanditteee urangan pogunullu.....nale Kanan bakki vachillaa ennu thannee kanannm.... waiting to see #lal	positive	Time @2:03 am....ethu kanditteee urangan pogunullu.....nale Kanan bakki vachillaa ennu thannee kanannm....waiting to see #lal
425	425	Kolakkollliiii  trailer kand njettiyavr aarund	positive	Kolakkolliiii trailer kand njettiyavr arund
426	426	EE  oonam ETT!M@@N! KONDUPOOKUM THERRCHA.....	positive	EE oonam ETT!M@@N! KONDUPOOKUM THERRCHA…..
427	427	ikka ningal enthina ingane njangale romanjam kollikane🤗	positive	ikka ningal enthina ingane njangale romanjam kollikane🤗
428	428	Ettan kurch koode perfect akum enn vicharikunu by H	neutral	Ettan kurch koode perfect akum enn vicharikunu by H
429	429	ee pulli great father inte grand father aaayi varum....kolakolli item	positive	ee pulli great father inte grandfather aayi varum....kolakolli item
430	430	Madhura raja kurach adikam viyarkum ... Thayoli fans inu dislike adikane pattu...	negative	Madhura raja kurach adikam viyarkum ... Thayoli fans inu dislike adikane pattu...
431	431	Oh enthoot kidu trailer laletta.. kidu mass!!! Love u.. and welldone Prithviraj!	positive	Oh enthoot kidu trailer laletta.. kidu mass!!! Love u.. and well done Prithviraj!
432	432	Ee christmasile oru mass entertainer aavum ee film....	positive	Ee christmasile oru mass entertainer aavum ee film....
433	433	paandi raaja .Annan thanbi.pandi padam nirthi Lucifer movie  pole maaran sramik	negative	pandi raja .Annan thambi.pandi padam nirthi Lucifer movie pole maaran sramik
434	434	Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu	positive	Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu
435	435	Laletta ingal vere leval annu Waiting #L	positive	Laletta ingal vere leval annu Waiting #L
436	436	NOV 21 MAranamass Pwolii  FDFS Locked	positive	NOV 21 MAranamass Pwolii FDFS Locked
437	437	Shooooo....9 manikku kaanan thodangiyadhaa....12:30 aayi....ethra vattam kandu ennadhinum kanakkilaa....nirthaan pattunilalo.....oru katta Mohanlal prithviraj aaradhakande rodhanam!!!!!	positive	Shooooo....9 manikku kaanan thodangiyadhaa....12:30 aayi....ethra vattam kandu ennadhinum kanakkilaa....nirthaan pattunilalo.....oru katta Mohanlal prithviraj aaradhakande rodhanam!!!!!
438	438	Ee Easter um Vishum njangal angu eduthu..	positive	Ee Easter um Vishum njangal angu eduthu..
439	439	Super waiting Ikka fans like idh Madhura Raja daaaa	positive	Super waiting Ikka fans like idh Madhura Raja daaaa
440	440	Raj yeta thagarthuve movie super dooper hit adichi polikam even in tamil nadu ithu nambalda movie ah hit akam	positive	Raj yeta thagarthuve movie super dooper hit adichi polikam even in tamil nadu ithu nambalda movie ah hit akam
441	441	Laletttaaaa heavy padam industrial hit definite	positive	Laletttaaaa heavy padam industrial hit definite
442	442	Variety laletta	positive	Variety laletta
443	443	Ith powlikkutttaaaa...... Mavoyist alla avnta appan vannalum nammal odikkum	positive	Ith powlikkutttaaaa...... Mavoyist alla avnta appan vannalum nammal odikkum
444	444	katta waiting ..from a katta ettan fan	positive	katta waiting ..from a katta ettan fan
445	445	Komban misha avasan senti Aaaa ha anthas	neutral	Komban misha avasan senti Aaaa ha anthas
446	446	Onnum parayanila. ..nte ponno ...katta waiting March 28	positive	Onnum parayanila. ..nte ponno ...katta waiting March 28
447	447	Ee Aduth Kandathil Veach.... Kidilan Trailer....  Ikka....Padam Pwolikum	positive	Ee Aduth Kandathil Veach.... Kidilan Trailer.... Ikka....Padam Pwolikum
448	448	Njan madhuraraja kanan poyi  But anikku  Chinnaum policeinte makalum marichathu Boreayi poyi Otherways it's awesome	neutral	Njan madhuraraja kanan poyi But anikku Chinnaum policeinte makalum marichathu Borayi poyi Otherwise it's awesome
449	449	Trailer veedum veedum kanunavare njn mathramoo??????	positive	Trailer veedum veedum kanunavare njn mathramoo??????
450	450	Padam mosham akanamennu agrahichittavum padam trailer eraghum mumbe	negative	Padam mosham akanamenu agrahichittavum padam trailer eraghum mumbe
451	451	Dislike adichavarkk ente vaka naduviral namskaaram	negative	Dislike adichavarkk ente vaka naduviral namaskaram
452	452	Ambo... marakam ikka polichu by katta lalettan fan	positive	Ambo... marakam ikka polichu by katta lalettan fan
453	453	Dislike adichavar mamooty fans ayatinal onnum parayanilla. Raja 3 strong adaaa. Ijjati mammunniss	negative	Dislike dichavar mammootty fans ayatinal onnum parayanilla. Raja 3 strong adaaa. Izzati mammunniss
454	454	Suraj Chetan kunjunni maashinte athe cut und.....valare nalla character chetaa	positive	Suraj Chetan kunjunni mashinte the cut und.....valare nalla character chetana
455	455	Ee padathinte Peru pole thannavum mikkavaarum padathinte avastha	negative	Ee padathinte Peru pole thannavum mikkavaarum padathinte avastha
456	456	Ith oru onnonnara film aanennu ente manass parayunnu	positive	Ith oru onnonnara film aanennu ente manass parayunnu
457	457	Ente rajuettaa ningl oru jinn aanu	positive	Ente rajuettaa ningl oru jinn aanu
458	458	Sorry Trailer  veendum veendum kandukondirikunnathkaranam Comments\r  vazhikkan pattiyittilla Mammookka polikkum	positive	Sorry Trailer veendum veendum kandukondirikunnathkaranam Comments\r vazhikkan pattiyittilla Mammookka polikkum
459	459	Trailer TRIPLE STRONG akumenu orapullavar like adik	positive	Trailer TRIPLE STRONG akumenu orapullavar like adik
460	460	Kanda chaavali raja pole alla... kidilan	negative	Kanda chaavali raja pole alla... kidilan
461	461	Annalum sunny chechiye randu shotl othukkiyallo.. kashtam tanne muthalali	negative	Annalum sunny chechiye randu shotl othukkiyallo.. kashtam tanne muthalali
462	462	Trailer varunathinu mumbu Dislike adichavarku enta vaga	negative	Trailer varunathinu mumbu Dislike adichavarku enta vaga
463	463	Heroine aaa Hani jadakkku pakaram vere vallo penpillerum mathiyarunnu	neutral	Heroine aaa Hani jadakkku pakaram vere vallo penpillerum mathiyarunnu
464	464	Oru rekshayum illa trailer laletta ingal oru maha sambhavaato	positive	Oru rekshayum illa trailer laletta ingal oru maha sambhavaato
465	465	Supper Mamooka Mamooka Pakaram Mamooka Mathram	positive	Supper Mamooka Mamooka Pakaram Mamooka Mathram
466	466	Lucifer പോലെ Oru മരണമാസ്സ്  Trailer.Mammokka kidukki . Trailer Eshttapettavar evide Like അടി മക്കളെ	positive	Lucifer as Oru Death Mass Trailer.Mammootty kidukki . Trailer Esht Tapettavar evide Like ft Sons
467	467	Trailer pwolliiii Eni padam koodi set ayaaa	positive	Trailer pwolliiii Eni padam koodi set ayaaa
468	468	padmakumarate chathikaruthu odiyanpole aavalle padkumaaratte ikkaaa chathikalle filmum ithupoleaavanam	neutral	padmakumarate chathikaruthu odiyanpole aavalle padkumaaratte ikkaaa chathikalle filmum ithupoleaavanam
469	469	Usmanee.... Mmmuk eenthapaya kachavadam matti bala kachavadam tudangam.. Evdoo kettapole 🤣	negative	Usmanee.... Mmmuk eenthapaya kachavadam matti bala kachavadam tudangam.. Evdoo kettapole 🤣
470	470	Padathinte peru sheriyalla yenth unda oru veraity vende perinu.	negative	Padathinte peru sheriyalla yenth unda oru veraity vende perinu.
471	471	Hvy bgm.... Hvy trailer....... Hvy massssssssss...... Ikkaaaaaaaaaa polikkumm.... Romanjam kond irikan vayya.... Ikka inga polikkum	positive	Hvy bgm.... Hvy trailer....... Hvy masssssssssss...... Ikkaaaaaaaaa polikkum.... Romanjam kond irikan vayya.... Ikka inga polikkum
472	472	Mammooka polikum asifikka yude oru guast roll ഉണ്ട് athinum katta waiting	positive	Mammootty polikum asifikka yude oru guest roll atheneum katta waiting
473	473	Ithil polikkan pokunneth aah pillera50 more newcomers aahaa	positive	Ithil polikkan pokunneth aah pillera50 more newcomers aahaa
474	474	100cr club keriyathinu sesham trailer kandavar undo	positive	100cr club keriyathinu sesham trailer kandavar undo
475	475	Vysakhinte direction aayath kondaanenn thonnunnu...raajayk oru pulimurugan touch	neutral	Vysakhinte direction aayath kondaanenn thonnunnu...raajayk oru pulimurugan touch
476	476	Dislike adicha....... Kal poyi 1080 p itte kaanada naayikkale	negative	Dislike adicha....... Kal poyi 1080 p itte kaanada naayikkale
477	477	Enthonn trailer urakkam varunnu ellaarum nalla kidilam ennu paranju kandu nokkiyadhaa oru rasavumill A  maalapadakkam	negative	Enthonn trailer urakkam varunnu ellaarum nalla kidilam ennu paranju kandu nokkiyadhaa oru rasavumill A maalapadakkam
478	478	Dialogue presentation valare mosham padam moonjaali markkaar akumo	negative	Dialogue presentation valare mosam padam moonjali marakkar akumo
479	479	X mas en oru pooram aha	positive	X mas en oru pooram aha
480	480	Super mammoookkkaaa... ....   Oru lalettan bhakthan..	positive	Super mammootty... .... Oru lalettan bhakthan..
481	481	Loocheeperinte kalem ethi mekkale ellarun meri nikk	negative	Loocheeperinte kalem ethi mekkale ellarun meri nikk
482	482	No way man ikkaaaa next hit	positive	No way man ikkaaaa next hit
483	483	Waiting .. Katta waiting.... Mammooka love you  Ikka istham	positive	Waiting .. Katta waiting.... Mammootty love you Ikka ishtam
484	484	Adaaar item   Lalettan and Prithuvi.	positive	Adaaar item Lalettan and Prithuvi.
485	485	6k dislikes.. Guhan fans Karanju Mezhukal aanallo	negative	6k dislikes.. Guhan fans Karanju Mezhukal aanallo
486	486	Mamooka ningal vismayipichu kontirikaanu ee prayathilum	positive	Mamooka ningal vismayipichu kontirikaanu ee prayathilum
487	487	Pwolichu Bgm Vere Level Ikka Waiting	positive	Pwolichu Bgm Vere Level Ikka Waiting
488	488	Ijathi item  kandittey povu 🤘🤘	positive	Ijathi item kandittey povu 🤘🤘
489	489	Entammooooo oru raksha illatha trailer Bgmil evidekkeyo avengersinte bgm ullath Poole thonnunnath enik maathram aano?🤔🤔🤔	positive	Entammooooo oru raksha illatha trailer Bgmil evidekkeyo avengersinte bgm ullath Poole thonnunnath enik maathram aano?🤔🤔🤔
490	490	Oru raksha illa oru adaar item  Marana Mass Ennu Paranjaal ithanu  Super Super Super	positive	Oru raksha illa oru adaar item Marana Mass Ennu Paranjaal ithanu Super Super Super
491	491	Background music oke kollam.... Pakshe padam erngumbol eee kanunathoke undel kollam.... # sada oru cinemapremi	neutral	Background music oke kollam.... Pakshe padam erngumbol eee kanunathoke undel kollam.... # sada oru cinemapremi
492	492	Lalettan prithvi combo .... =മരണമാസ്	positive	Lalettan prithvi combo .... =Marana Mas
493	493	trailor editor kk oru kuthirapavan kodukaan thonnunavar ivide camonnnn!!!!	positive	trailor editor kk oru kuthirapavan kodukaan thonnunavar ivide camonnnn!!!!
494	494	ikka scholl mass dailogue ellarum maranna mattoru item und therrunnillallo katta exitment raju ettan  full suspence...	positive	ikka scholl mass dailogue ellarum maranna mattoru item und therrunnillallo katta excitement raju ettan full suspense...
495	495	Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam	positive	Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam
496	496	supr ikka powli ..... padam supr arikkim urappaa.... ikka lve u ....	positive	supr ikka powli ..... padam supr arikkim urappa.... ikka love u ....
497	497	Padathe patti undayirunnu ah mundharana maari...Oru mass padam thanne ayirikkum...Best wishes	positive	Padathe patti undayirunnu ah mundharana maari...Oru mass padam thanne ayirikkum...Best wishes
498	498	Uff _    Murali Gopi	neutral	Uff _ Murali Gopi
499	499	Kurach massum aayittanallo jayetta ipravishathe varav	positive	Kurach massum aayittanallo jayetta ipravishathe varav
500	500	Makkale ethu polikkum    oru raksayumilla	positive	Makkale ethu polikkum oru raksayumilla
501	501	Mammotyodulla ishtam kadutha thamizh vorodhathal thakarnnu mannadinjhu poyi....this flm seems like paandi movie	neutral	Mammotyodulla ishtam kadutha thamizh vorodhathal thakarnnu mannadinjhu poyi....this flm seems like paandi movie
502	502	Mass enokka paranja onannara mass athanu mammukka....	positive	Mass enokka paranja onannara mass athanu mammukka....
503	503	Kunjaalikk eee sound fit alla ennoru thonal	neutral	Kunjaalikk eee sound fit alla ennoru thonal
504	504	Ikka polichu athum e prayathil love u ikka	positive	Ikka polichu athum e prayathil love u ikka
505	505	Tovino chetta pwoli love from Kanniyakumari	positive	Tovino chetta pwoli love from Kanniyakumari
506	506	Adipoly . Rocking enik eshtamaayi . Adipoly . Rock on	positive	Adipoly. Rocking enik eshtamaayi . Adipoly. Rock on
507	507	ethu endha pulimuranta bgm okka koodi mix  pratheesha pokavoo	neutral	ethu endha pulimuranta bgm okka koodi mix pratheesha pokavoo
508	508	angane oru divasam daivam marichu..........hahahahah.....nalla comedy	neutral	angane oru divasam daivam marichu..........hahahahah.....nalla comedy
509	509	BGM kidukkiiiiiiiii makkale koode mammukka combi 🤩	positive	BGM kidukiiiiiiiii makkale koode mammukka combi 🤩
510	510	Mamukka I  like  you	positive	Mamukka I like you
511	511	Dileepettan...luv u ..luv u so much	positive	Dileepettan...luv u ..luv u so much
512	512	Kurupuutivarunavrde anakil kodtha keechan trailer ikkaaa Uff ingal eeejathi mass  FDFs urappachuu singasa Thalivaa....MaduraRaja #RajaEffect #RIP YouTube Thukkiaydii	negative	Kurupuutivarunavrde anakil kodtha keechan trailer ikkaaa Uff ingal eeejathi mass FDFs urappachuu singasa Thalivaa....MaduraRaja #RajaEffect #RIP YouTube Thukkiaydii
513	513	Mammooty fansavm dislike adiche Poi madhurajak adikadaa Etu vere levela mone dineshaa	negative	Mammooty fansavm dislike apache Poi madhurajak adikadaa Etu vere level one dineshaa
514	514	MURALI GOPI NINGALUDE DIALOGUE PWOLIYAANU. ..MWTHE	positive	MURALI GOPI NINGALUDE DIALOGUE PWOLIYAANU. ..MWTHE
515	515	Ithe namma jayikkan mathram kalikana kaliyaaaaa	positive	Ithu namma jayikkan mathram kalikkunna kaliyaaaaa
516	516	Patti vananagal okke dislike adichu thudangi ...	negative	Patti vananagal okke dislike adichu thudangi ...
517	517	Dislike  Adicha Mammookka Fans  Njagade #ettante varav KaneKulirke Kandota...........................	negative	Dislike Adicha Mammookka Fans Njagade #ettante varav KaneKulirke Kandota...........................
518	518	Katta waiting	positive	Katta waiting
519	519	Sreekumara menone naari nee ithonnu kaanu	negative	Sreekumara menone naari nee ithonnu kaanu
520	520	Oru rakshyum illatha trailer Trailer ingane aanenkil movie eganeyayirikkum mass aayirukkm	positive	Oru rakshyum illatha trailer Trailer ingane aanenkil movie eganeyayirikkum mass aayirukkm
