sentence	sentiment	lang_of_words
#thyview dear . Basides of pointing the technical flaws in the film . you should have the guts to applause the hidden justification of story which was not even seen so far in films like sairat and premiste . .	negative	['univ', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ne', 'en', 'en', 'univ', 'univ']
Abba sairam bollywood la kakonda southindian industries good movies istuniee .	positive	['te', 'ne', 'en', 'te', 'te', 'ne', 'en', 'en', 'en', 'te', 'univ']
@Nani889316 @SVishnuReddy @ysjagan Do you have a coman sense Adhi state government cheyyali ni laga matladatam chethha kadhu maku lekapothey jagan cheddy ki eppudo ilanti reply chala vellevi maku antu oka paddhathi undi danni memu datamuuu next time paddathi ga coment pettadam nerchukoo	negative	['univ', 'univ', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'ne', 'ne', 'ne', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'en', 'te', 'te']
Really liked the movie . feel good movie with nice story . We have to encourage this kind of experiments	positive	['en', 'en', 'te', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
@SunRisers Assal short run avvadam endho vallu 1 run tho gelavdam endho . Rcb daridram antha mana mogga ki chuttukundhi . Motham middle order antha suchith gadi sankaa nakand . me moggalo team management okka saraina crct team tisukunara . Na lavdalodhi #SRHvDC @SunRisers #SunrisersHyderabad	negative	['univ', 'te', 'en', 'en', 'te', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'univ', 'univ', 'te', 'te', 'te', 'te', 'ne', 'te', 'univ', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'univ', 'en', 'te', 'en', 'en', 'te', 'te', 'ne', 'en', 'te', 'univ', 'te', 'te', 'univ', 'univ', 'univ']
@19 19-581 RaM rAM not at all . telugu lo taking chaala bagundhi but . first half mari booring	neutral	['univ', 'univ', 'ne', 'ne', 'en', 'en', 'en', 'univ', 'te', 'te', 'en', 'te', 'te', 'en', 'univ', 'en', 'en', 'te', 'en']
@AgniPRASHAD @PawanKalyan 🤣 🤣 🤣 😅 .. Oka siddantam leni party .. Tdp sanka naakandi inka bro .. Single gaa porade dammu ledu , Tdp to pottu ki aina ok antinnav so ade ga package bro ..	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'en', 'univ', 'univ', 'te', 'te', 'te', 'en', 'univ', 'en', 'te', 'te', 'te', 'te', 'univ', 'univ', 'en', 'univ', 'ne', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'univ']
Oa jewa obo ore gatela monwana 😂 😂 O jelwe ga 2 jaanong	negative	['ne', 'ne', 'ne', 'en', 'te', 'te', 'univ', 'univ', 'te', 'en', 'te', 'univ', 'en']
@Balayya_Garu Rey reason lekunda trolls eyyadam gurinchi sigu leni N fans ki maatladey arhathey ledhu asalu .	negative	['univ', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'ne', 'te', 'te', 'te', 'te', 'univ']
Telengana accent and songs BGM and dialouges in this movie a just too perfect good !	negative	['ne', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ']
Annaya edhi ott lo vundha thetere lo vundha . ?	positive	['te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'univ', 'univ']
Abhikaa fans eppudu aa monal sanka naakandi ..... elagelaga abhi ni nominations lo nunchi save chesindhanta harika ki help chesindhanta .... eppudu bagaa buddhocchindhaaa .....	negative	['ne', 'en', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'ne', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'ne', 'en', 'te', 'univ', 'te', 'te', 'te', 'univ']
Bro worst review broo chiraakesesindhi nuv cheppey vidhaanam choosi	negative	['en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te']
Rey musti ninja kodaka , yevaru poyi evarni ra meet ayyindi .. nee bathuku nuvvu thuuu 💦	negative	['te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'univ']
gatham , uma maheshwara , akasham sarihaddu , colour photo are best ott movies in this lockdown . penguin , miss india , nishabdam , shakuntala devi lantivi vadilesi ivvi chudandi . v , johar and orey bujjiga is good for time pass watch . waiting for middle class melodies and ammoru thalli krishna and leela , bhanumati thyview anna ki enduk nachayo nak telidu kanni worst movies ever naa uddeshamlo danikantey jyotika movies in aha are far better	negative	['ne', 'univ', 'ne', 'ne', 'univ', 'te', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'univ', 'en', 'ne', 'univ', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'en', 'univ', 'ne', 'en', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'te', 'ne', 'en', 'te', 'univ', 'te', 'en', 'te', 'ne', 'te', 'te', 'te', 'ne', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'en']
Waiting to see this one in theatre	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en']
@deepakreddy1111 @VoiceOfAndhra_ @Kiran_blue8 @VSReddy_MP Emo pettukunaro emo kani eppudu matram modi garidi pettukunaru 151 23 seats adagaru asalu tdp ante enduko antha paga appudu spl status status sava mingaru eppudu evariki avasaram ledu inka poram boku cheta kani oka shiyam mudda gaa vizag vallu piliche peru k * * ja ade pani lo	negative	['univ', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'univ', 'univ', 'ne', 'te', 'te', 'te']
Thammudu . English takkuva cheppu . english ante intellectual kaadu ra . Babu	negative	['te', 'univ', 'te', 'te', 'te', 'univ', 'univ', 'te', 'en', 'te', 'te', 'univ', 'ne']
@DarkMon99210364 @AlwaysPK_45 @ActualIndia Pen drive aa 😂 em pen drive ra evadu ra ilantivi anni cheptharu meku siggu undadha ra proof leknda matladutharu 🤦🏻 em kojja brathuku brathukuthunnavra	negative	['univ', 'univ', 'univ', 'en', 'en', 'te', 'univ', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te']
Meru cheppina atha bad em ladu just okk 1 time watch movie	negative	['te', 'te', 'te', 'en', 'te', 'te', 'en', 'en', 'univ', 'en', 'en', 'en']
Ee latkor gaadu Pawan Kalyan kosam chaep GA matladatam 😫	negative	['te', 'te', 'te', 'ne', 'ne', 'te', 'en', 'te', 'te', 'univ']
Diets video and this video voice was difference bro 😅 😅 😒 😒	positive	['ne', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'univ', 'univ']
Pre interval nundi movie kummindi perfect review bro 👌 👌	positive	['en', 'en', 'te', 'en', 'te', 'en', 'en', 'en', 'univ', 'univ']
Totalga Ni kallu Ni maind dhobbindhi nilo kuda falt undii yarragadda aspetallo check chesko gutle	negative	['te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'te']
@niharikareddy89 Very gud mam chala manchi pani chesthunnaru ha devudu asasisulu meku allapudu vuntai	positive	['univ', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te']
Chetha na kodaka .. anduke nuvvu ante naaku chiraku .. gandu .. bevarse edava .. thu labbe gaa .. howle gaa .. lafoot ulfa @klrahul11	negative	['te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'univ', 'en', 'te', 'univ', 'te', 'te', 'te', 'univ', 'en', 'te', 'univ', 'en', 'te', 'univ']
So happy to it 's shooting is done in our clg . #GVP	positive	['en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ']
@actor_nithiin Andariki reply icchhav naku oka reply ivachu ga anna 😪 😪	positive	['univ', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'univ']
Waiting for NAANDHI , CHAKRA REVIEWS	positive	['en', 'en', 'univ', 'univ', 'univ', 'univ']
@Nareshkumar_999 @Amrutha92153040 @ysjagan Rey mari modi gadiki ela support chestunav ra ... siggulekunda oil gas petrol antha pergina okka mata led ... kojjagadila velli valatho pothu entira aya .... oksrojina issue midha fight chryadu ... cinemalu lekapthe farmhouse ... kukka betr adi kanna	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'te', 'en', 'te', 'univ', 'te', 'te', 'en', 'univ', 'te', 'en', 'te', 'te']
GOT SE 8 is a disaster	negative	['univ', 'univ', 'univ', 'en', 'en', 'en']
R u really reviewing this . no dude at least leave this movie alone . 😭 😭	negative	['en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'univ']
Chilla ra dres roftop uy permi raka makakitag ga lubot HAHAHAH	negative	['te', 'te', 'en', 'en', 'en', 'en', 'te', 'en', 'te', 'en', 'univ']
@LaxRon3 @YSRCParty Chetha naa kodukulu .. Direct gaa gelavaleka Ballot boxes manipulate chese 420 naakodukulu em naduputhaarle andhra ni .	negative	['univ', 'univ', 'te', 'te', 'te', 'univ', 'en', 'te', 'te', 'en', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'ne', 'te', 'univ']
Movie baagunte intha chandalam ga endhuku review chepthunnaru	negative	['en', 'te', 'te', 'te', 'te', 'te', 'en', 'te']
@pradeep7878 Nenu inka adaleka 3 tisesi 2 lone haayga six lu kottukuntunna	positive	['univ', 'te', 'te', 'te', 'univ', 'te', 'univ', 'en', 'te', 'en', 'te', 'te']
Waiting for Akasamneehaddura movie review	neutral	['en', 'en', 'te', 'en', 'en']
@ExCIAKGBRAWMI6 Hospital scene	negative	['univ', 'en', 'en', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ']
@lady_amitabh @Roopa66927408 @VJS4ever @TheMaestroRaja @KChiruTweets @vijayashanthi_m @vijayashanthiFc ANDHRA LO HINDU TEMPLE DESTROY CHESTUNAARU MEE RAMULAKKA INTLO HAYIGA AC PETTUKONI PADUKANNARU MEERU FARMER BILLS GURINCHI OKKA TWEET CHESARA YEPPUDU CHOOSINA RAMULAKKA POGADADAM MEE RAMULAKKA TELENGANA CM AVTHARU PICCHI KALA CHOODADAM AAPANDI #FarmersProtest #AndhraTempleDanger	positive	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'ne', 'ne', 'ne', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'en', 'en', 'te', 'te', 'en', 'ne', 'ne', 'te', 'univ', 'univ', 'univ', 'univ']
Bayya ganta kottanu mari naaku oka ❤	positive	['te', 'te', 'te', 'te', 'te', 'te', 'univ']
Big fan of surya sir 😍	positive	['en', 'en', 'en', 'ne', 'en', 'univ']
Areiiii luccha first nee g lo d unte nee MP seat ki rajinama chesi nee viggu oodipokunda malli elections lo contest chesi gelichi matladu sannasi edava , avineethi sommutho kotli sampayinchi luxury cars movies lo tent icchukuney badhulu car rentals pettuko , hayiga rents osthai	positive	['ne', 'te', 'en', 'te', 'en', 'te', 'en', 'te', 'te', 'univ', 'en', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'univ', 'te', 'en', 'te']
Watching alludu adhurs trailer * Me - edho thedaga undhenti	neutral	['en', 'te', 'en', 'en', 'univ', 'en', 'univ', 'te', 'te', 'te']
Thank u bro for giving review and that too u mentioned that its a good movie after long lockdown time , LOVE TEAM THYVIEW ( sainath anna )	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'univ', 'univ', 'te', 'te', 'univ']
Bro i am big fan of him really sey that movie was osm and next level 🔥 i think that this film come after opening theatre as good ❤	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ']
@keerthiDhfm6 Chala manchi pani chesaru miru great	positive	['univ', 'te', 'te', 'te', 'te', 'te', 'en']
@NARENcloseup @netflix @NetflixIndia @KeerthyOfficial @smkoneru @IamJagguBhai @MusicThaman @Tharun__Kumar @sahisuresh @sujith_vasudev Anna eroje movie chusanu movie chala bagund .	positive	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'te', 'en', 'te', 'en', 'te', 'en', 'univ']
If Hollywood does it . wow If tollywood doeS it . how This dialogue is absolutely correct	neutral	['en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en']
Ilanti movies encourage cheyaru manollu . Remakes matram pedha hit chestharu entha chethaga vunna 😏 😏	negative	['te', 'en', 'en', 'te', 'te', 'univ', 'en', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'univ', 'univ']
Lol bollywood is still thinking what should be done	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
@ursstrulysri @HFVUnbox 50k idhi 😅 Ivale announced India lo ... But camera chaalaa bagundi	positive	['univ', 'univ', 'univ', 'te', 'univ', 'te', 'en', 'en', 'te', 'univ', 'en', 'en', 'te', 'te']
Asalu cutting undha ledha ? Bro ?	neutral	['te', 'en', 'te', 'te', 'univ', 'en', 'univ']
@prashanthrao Rao tq anna for ur kind recognition	neutral	['univ', 'ne', 'en', 'te', 'en', 'ne', 'en', 'en']
Oka cm ki , oka minister ki , oka MP ki oke intolo vachhai ina siggu leknda rally lu , vaddu ina cheppi savachu ga	negative	['te', 'en', 'ne', 'univ', 'te', 'en', 'ne', 'univ', 'te', 'univ', 'ne', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te']
@A1_FOR_6093 @taruns_ Rey chaduvuleni musali puku lanjakodaka aathu kuda peekalevu naadi 🤣 🤣 🤣 sulla legavani musali puka nee gadida modda tho kaneesam nee pellanne sukha pettalevu neekenduku magodi dialogue lu musali lanjakodaka 🤣 🤣 🤣	negative	['univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'univ', 'univ']
@iamRashmika Header Marchi Thengu Kukka bochuu la undhii .... ! 🤦‍♂️ 🙏🏻	negative	['univ', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'univ', 'univ']
Bokka la undi cinema nv ne sollu review	negative	['ne', 'te', 'te', 'en', 'te', 'te', 'te', 'en']
heavy pandemic lo release ayyi reremake court drama tho jalaga gaadu ap lo ibbandhi pettina t2blive prakaram 87cr vesadu reality 95cr plus ee .. mabuu gadhuu shooting ee cancel chesukunnadu kadhara corona ani .. koratala tho teesi ee pandemiclo release aithe 50cr kuda ravu mabu gaa	negative	['en', 'en', 'te', 'en', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'en', 'univ', 'en', 'te', 'univ', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'univ', 'te', 'te', 'ne', 'te']
@ImDas21 Oreyyy asal nonbb2 ante mirela nammara Gadidha gudhaloda Ah bookings chusava 💦 💦 💦 💦	negative	['univ', 'en', 'te', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'univ', 'univ', 'univ']
Likes are more than views Trust on thyview 👍	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ']
@AdityaMb_4005 Hardik Pandya kl Rahul etc batch dhoni ni fav cricketer anataniki reason idannamata ekkada caption ga team loki ranikunda thokkuthado ani bhayam anamata adhe anipinchindi khallu mooskuni bat guddiga oopevadiki fans ela ayyara ani clarity icchav bro	positive	['univ', 'ne', 'te', 'univ', 'ne', 'en', 'en', 'te', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'en']
Bro neku telugu vachu ga	neutral	['en', 'te', 'te', 'te', 'te']
Ofter long Days Theatre Experience is Maass Biryani . .	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'univ', 'univ']
Great manchhi pani , vedavalu leni poni panulu chestaru	positive	['en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te']
@Komorambhim chaalaa ekkuva hours efforts pedtunte adi bale idi bale aadu better eedu better ani sigu lekundaa .... lucha na kodukulu	negative	['univ', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'univ', 'te', 'te', 'te']
Broo top anime to watch vedioo cheyyandi broo plzz . 🙏 ca n't decide chalaa unnayy 🤧	neutral	['en', 'en', 'en', 'en', 'en', 'te', 'te', 'en', 'en', 'univ', 'univ', 'en', 'en', 'en', 'te', 'te', 'univ']
Anna make a video on Vishwaroopam facts plzz anna	neutral	['te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te']
`` Live in relationship '' anta topic ado social media sollu cheputaru gani aa chepy valu kuda oyo thuppalu batch ga ekkada okaokaduu pedha manchodu laa speaker teuskoni sollu dobutaru	positive	['univ', 'en', 'en', 'en', 'univ', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te']
Prefect review bro chusi narchuko ra mr b review uncle	negative	['en', 'en', 'en', 'te', 'te', 'te', 'univ', 'en', 'en', 'en']
Telugu lo ayina yeduv English lo ayina yeduv rendu mix chesi champaku	negative	['te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te']
dorasani movie lo kuda baga act chesadu	positive	['ne', 'en', 'te', 'te', 'te', 'en', 'te']
Trailer choosinapude anipinchindhi cinematography entra intha bagndi anitheater lo chusaka nenu fan ipoyanu gk vishnu ki and finally thank q Gopichand malineni garu ma ravanna ki solid hit icharu	positive	['en', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'ne', 'ne', 'ne', 'en', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'ne', 'en', 'en', 'te']
Neeku nachakapothe problem enti bro	negative	['te', 'te', 'te', 'te', 'en']
Thank you bro your information	neutral	['en', 'en', 'en', 'en', 'en']
@DseDevdas @KChiruTweets Personal gaa ayithe Shankar dada mbbs , 3rd time vellinappudu starting lo title card animation aipoindi late vellam ani tickets amminchesa daddy cheta , next show ki vellam .. love for the man dates back to my childhood days	negative	['univ', 'univ', 'en', 'te', 'te', 'te', 'te', 'en', 'univ', 'univ', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'en', 'te', 'ne', 'ne', 'univ', 'en', 'en', 'ne', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
Bro Sasi postponed to Feb 26	neutral	['ne', 'ne', 'en', 'en', 'en', 'univ']
Bro uppena movie vurloney theesaru	neutral	['en', 'te', 'en', 'en', 'te']
@Durga Prasad unsubscribe cheyataniki kadhu sub chesindhi evari opinion chepachu cheppa nijam adhey Kadha	neutral	['univ', 'en', 'en', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te']
@Manojtweetzz Ilanti boku dani cheskunad NC ...... NC manchdu kabatte idi ipudu kuda ilanti boku veshalu vesthundi	positive	['univ', 'te', 'te', 'te', 'ne', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@HanuViews Ila ikada vachi chettha huk tweet lu ese padulu elli TTDP ni lepochu gaa ra .. endulo noo dumping chestunaru ata .. 🥴 🥴	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'en', 'te', 'te', 'univ', 'univ', 'univ']
( T E N E T )	neutral	['univ', 'en', 'te', 'en', 'te', 'en', 'univ']
Please review roberrt movie bro	neutral	['en', 'en', 'en', 'en', 'en']
@roopak999 @meghanavirat Inthak mundu department lo em peeki podichav ani ipudu haayga undi antunav	positive	['univ', 'univ', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
Puku ee telugu janalaki ae cinema nacchutundi le , ey cinema adigina average flop	neutral	['te', 'te', 'te', 'te', 'te', 'en', 'te', 'ne', 'univ', 'te', 'en', 'te', 'en', 'en']
@Narayana Nachaledhu its an opinion and baledhu its a statement . Chala difference undhi	neutral	['univ', 'te', 'en', 'en', 'en', 'en', 'te', 'en', 'en', 'en', 'univ', 'te', 'en', 'te']
@MaheshhKathi Plz ra na modda cheeku ma room valla andari moddalu chekku buddi vastadi ... paytm chestham paisal neku baga istam kada paytm . Andari modddalu cheeki paisal sampadinchu paytm tho ... ne pandi notle modda .......	positive	['univ', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'univ']
@Srujith Kumar Golla avunaa Thanks Anna REPLY ICCHINANDHUKU 😀	positive	['univ', 'ne', 'te', 'te', 'en', 'te', 'univ', 'univ', 'univ']
@DGRTRS @Arvindharmapuri MP kaadu kani oka galli leader ku kuda paniki rani candidate Arvind .... aa matlade vidhanam chustene chillar gadi lekka . MP ante koddiga dignified gaa satyam matladali veella party King ee pedda abaddala champion inka party members em satyam matkadutaaru ... @trspartyonline	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'univ', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'univ', 'univ', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'te', 'univ', 'univ']
Maa vinta gaada vinuma review bro	neutral	['te', 'te', 'te', 'ne', 'en', 'en']
@KushiHari nee avva rey chirutha collection pawala gadi appativaraku unna chesina anni cinemalakante ekkuva 2nd film thone south IH , average cinemalu kuda 40cr tho 125 cr . ela ra siggulekunda miru RC bo stamina tho comparison 🤦 , mundu 90cr share kottandra	negative	['univ', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'en', 'en', 'en', 'univ', 'univ', 'en', 'te', 'te', 'univ', 'te', 'univ', 'en', 'univ', 'te', 'te', 'te', 'ne', 'en', 'en', 'te', 'te', 'en', 'univ', 'univ', 'te', 'univ', 'en', 'te']
Dude I ve been asking for anime recommendations	neutral	['ne', 'en', 'te', 'en', 'en', 'en', 'en', 'en']
@4EverNTR kummav EDIT 😍 😍 👌 Apesa ani cheppi silent gaa finish chesava 😂 #50DaysToNTRsFestival 🔥	positive	['univ', 'te', 'en', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'univ', 'univ']
@Aaryan_in_exile hanu anna edo gajji tho tweets vestadu kani manchod	positive	['univ', 'ne', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'ne']
Cinema good Sankranti ki alludu adhurs best movie	positive	['en', 'en', 'te', 'ne', 'te', 'en', 'en', 'en']
@Iloveindia_007 Corona vishayamlo Kuda dachukovadamenti siggulekunda mundamohallara prajalaku telistenekada jagrttaga untaru	negative	['univ', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@ursyathi mari aa mandhu emayina theda kodithe , prapancha desala chethha ooyinchukovali gaa	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te']
ilanti manchhi pani jeevitam lo chesaava eppudaina ... thu @ysjagan	positive	['te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'univ']
@VSReddy_MP Tirupathi lo donga votlu veytaniki vachi biryani lu tintu pattubadina me ycheppe karykarthalu ni ap mottam chusaru .. ayina sigguu saram leknda pakka valla meda Burada challuthunavu antey nekantey daridrudu , nekrustudu evadu vundadu ..	negative	['univ', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'univ']
Master review As follows Hard core Vijay fans . Blockbuster Vijay fans . super hit Vijay and VS fans . Hit Non Vijay . Only vs fans . Entry scene keka . climax dobbindhi Lokesh fans . Lokesh movie kaadu idhi Vijay 's movie Malavika fans . Nduku pettaru asalu cinemalo Theater Audience . Avg Normal audience . Flop Ajith fans . Sankranthi festival Vere level lo chesukundham . Vaathi coming uu	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'ne', 'en', 'univ', 'en', 'ne', 'ne', 'en', 'en', 'en', 'univ', 'en', 'en', 'ne', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'te', 'univ', 'en', 'te', 'ne', 'en', 'univ', 'ne', 'en', 'te', 'te', 'univ', 'univ', 'en', 'te', 'en', 'univ', 'te', 'te', 'te', 'te', 'en', 'en', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'univ', 'te', 'en', 'en', 'en', 'te', 'te', 'univ', 'te', 'en', 'te']
